Size,File,Category,Total,Percentage
small,category_valid.csv,"Bücher, Filme & Musik",105,0.01166667
small,category_valid.csv,Bürobedarf,58,0.00644444
small,category_train.csv,Möbel & Wohnen,466,0.233
small,category_train.csv,Elektronik & Computer,438,0.219
small,category_train.csv,Kleidung & Accessoires,335,0.1675
small,category_train.csv,Werkzeug & Baumarkt,242,0.121
small,category_train.csv,Sport & Freizeit,148,0.074
small,category_train.csv,Spielzeug & Baby,126,0.063
small,category_train.csv,Auto & Motorrad,120,0.06
small,category_train.csv,Gesundheit & Pflege,43,0.0215
small,category_train.csv,Kosmetik & Drogerie,35,0.0175
small,category_train.csv,Lebensmittel & Getränke,28,0.014
small,category_train.csv,Bürobedarf,10,0.005
small,category_train.csv,"Bücher, Filme & Musik",9,0.0045
small,category_test.csv,Möbel & Wohnen,2788,0.31185682
small,category_test.csv,Kleidung & Accessoires,2599,0.29071588
small,category_test.csv,Elektronik & Computer,867,0.09697987
small,category_test.csv,Sport & Freizeit,766,0.08568233
small,category_test.csv,Werkzeug & Baumarkt,631,0.07058166
small,category_test.csv,Spielzeug & Baby,339,0.03791946
small,category_test.csv,Kosmetik & Drogerie,286,0.03199105
small,category_test.csv,Auto & Motorrad,284,0.03176734
small,category_test.csv,Gesundheit & Pflege,174,0.01946309
small,category_test.csv,Bürobedarf,104,0.01163311
small,category_test.csv,Lebensmittel & Getränke,75,0.00838926
small,category_test.csv,"Bücher, Filme & Musik",21,0.00234899
small,category_test.csv,Haustier & Tierbedarf,6,0.00067114
medium,category_A.csv,Möbel & Wohnen,1264,0.24692323
medium,category_A.csv,Kleidung & Accessoires,1064,0.2078531
medium,category_A.csv,Elektronik & Computer,923,0.18030865
medium,category_A.csv,Werkzeug & Baumarkt,527,0.10294979
medium,category_A.csv,Sport & Freizeit,374,0.07306114
medium,category_A.csv,Spielzeug & Baby,328,0.06407501
medium,category_A.csv,Auto & Motorrad,256,0.05000977
medium,category_A.csv,Kosmetik & Drogerie,147,0.02871655
medium,category_A.csv,Gesundheit & Pflege,101,0.01973042
medium,category_A.csv,Lebensmittel & Getränke,59,0.01152569
medium,category_A.csv,Bürobedarf,44,0.00859543
medium,category_A.csv,"Bücher, Filme & Musik",29,0.00566517
medium,category_A.csv,Haustier & Tierbedarf,3,0.00058605
medium,category_B.csv,Kleidung & Accessoires,52666,0.26332868
medium,category_B.csv,Möbel & Wohnen,36018,0.1800891
medium,category_B.csv,Elektronik & Computer,35554,0.17776911
medium,category_B.csv,Auto & Motorrad,19782,0.09890951
medium,category_B.csv,Werkzeug & Baumarkt,15339,0.07669462
medium,category_B.csv,Kosmetik & Drogerie,10727,0.05363473
medium,category_B.csv,Spielzeug & Baby,9832,0.04915975
medium,category_B.csv,Sport & Freizeit,8342,0.04170979
medium,category_B.csv,Gesundheit & Pflege,4807,0.02403488
medium,category_B.csv,Bürobedarf,2572,0.01285994
medium,category_B.csv,Lebensmittel & Getränke,2316,0.01157994
medium,category_B.csv,Haustier & Tierbedarf,1287,0.00643497
medium,category_B.csv,"Bücher, Filme & Musik",761,0.00380498
medium,category_valid.csv,Möbel & Wohnen,2244,0.24933333
medium,category_valid.csv,Kleidung & Accessoires,2006,0.22288889
medium,category_valid.csv,Elektronik & Computer,1421,0.15788889
medium,category_valid.csv,Werkzeug & Baumarkt,876,0.09733333
medium,category_valid.csv,Sport & Freizeit,719,0.07988889
medium,category_valid.csv,Spielzeug & Baby,577,0.06411111
medium,category_valid.csv,Auto & Motorrad,436,0.04844444
medium,category_valid.csv,Kosmetik & Drogerie,268,0.02977778
medium,category_valid.csv,Gesundheit & Pflege,177,0.01966667
medium,category_valid.csv,Lebensmittel & Getränke,113,0.01255556
medium,category_valid.csv,"Bücher, Filme & Musik",105,0.01166667
medium,category_valid.csv,Bürobedarf,58,0.00644444
medium,category_train.csv,Möbel & Wohnen,2297,0.2297
medium,category_train.csv,Elektronik & Computer,2153,0.2153
medium,category_train.csv,Kleidung & Accessoires,1682,0.1682
medium,category_train.csv,Werkzeug & Baumarkt,1168,0.1168
medium,category_train.csv,Sport & Freizeit,712,0.0712
medium,category_train.csv,Spielzeug & Baby,694,0.0694
medium,category_train.csv,Auto & Motorrad,584,0.0584
medium,category_train.csv,Gesundheit & Pflege,225,0.0225
medium,category_train.csv,Kosmetik & Drogerie,216,0.0216
medium,category_train.csv,Lebensmittel & Getränke,145,0.0145
medium,category_train.csv,Bürobedarf,77,0.0077
medium,category_train.csv,"Bücher, Filme & Musik",41,0.0041
medium,category_train.csv,Haustier & Tierbedarf,6,0.0006
medium,category_test.csv,Möbel & Wohnen,2788,0.31185682
medium,category_test.csv,Kleidung & Accessoires,2599,0.29071588
medium,category_test.csv,Elektronik & Computer,867,0.09697987
medium,category_test.csv,Sport & Freizeit,766,0.08568233
medium,category_test.csv,Werkzeug & Baumarkt,631,0.07058166
medium,category_test.csv,Spielzeug & Baby,339,0.03791946
medium,category_test.csv,Kosmetik & Drogerie,286,0.03199105
medium,category_test.csv,Auto & Motorrad,284,0.03176734
medium,category_test.csv,Gesundheit & Pflege,174,0.01946309
medium,category_test.csv,Bürobedarf,104,0.01163311
medium,category_test.csv,Lebensmittel & Getränke,75,0.00838926
medium,category_test.csv,"Bücher, Filme & Musik",21,0.00234899
medium,category_test.csv,Haustier & Tierbedarf,6,0.00067114
large,category_A.csv,Kleidung & Accessoires,25967,0.2596674
large,category_A.csv,Möbel & Wohnen,18268,0.18267817
large,category_A.csv,Elektronik & Computer,17726,0.17725823
large,category_A.csv,Auto & Motorrad,9886,0.09885901
large,category_A.csv,Werkzeug & Baumarkt,7788,0.07787922
large,category_A.csv,Kosmetik & Drogerie,5536,0.05535945
large,category_A.csv,Spielzeug & Baby,4952,0.0495195
large,category_A.csv,Sport & Freizeit,4047,0.0404696
large,category_A.csv,Gesundheit & Pflege,2354,0.02353976
large,category_A.csv,Bürobedarf,1306,0.01305987
large,category_A.csv,Lebensmittel & Getränke,1159,0.01158988
large,category_A.csv,Haustier & Tierbedarf,618,0.00617994
large,category_A.csv,"Bücher, Filme & Musik",396,0.00395996
large,category_B.csv,Kleidung & Accessoires,650139,0.3250695
large,category_B.csv,Möbel & Wohnen,395086,0.197543
large,category_B.csv,Elektronik & Computer,299800,0.1499
large,category_B.csv,Werkzeug & Baumarkt,129759,0.0648795
large,category_B.csv,Auto & Motorrad,128238,0.064119
large,category_B.csv,Kosmetik & Drogerie,95417,0.0477085
large,category_B.csv,Sport & Freizeit,95325,0.0476625
large,category_B.csv,Spielzeug & Baby,89783,0.0448915
large,category_B.csv,Gesundheit & Pflege,43654,0.021827
large,category_B.csv,Bürobedarf,24166,0.012083
large,category_B.csv,Lebensmittel & Getränke,22988,0.011494
large,category_B.csv,Haustier & Tierbedarf,16444,0.008222
large,category_B.csv,"Bücher, Filme & Musik",9203,0.0046015
large,category_valid.csv,Möbel & Wohnen,2244,0.24933333
large,category_valid.csv,Kleidung & Accessoires,2006,0.22288889
large,category_valid.csv,Elektronik & Computer,1421,0.15788889
large,category_valid.csv,Werkzeug & Baumarkt,876,0.09733333
large,category_valid.csv,Sport & Freizeit,719,0.07988889
large,category_valid.csv,Spielzeug & Baby,577,0.06411111
large,category_valid.csv,Auto & Motorrad,436,0.04844444
large,category_valid.csv,Kosmetik & Drogerie,268,0.02977778
large,category_valid.csv,Gesundheit & Pflege,177,0.01966667
large,category_valid.csv,Lebensmittel & Getränke,113,0.01255556
large,category_valid.csv,"Bücher, Filme & Musik",105,0.01166667
large,category_valid.csv,Bürobedarf,58,0.00644444
large,category_train.csv,Möbel & Wohnen,9067,0.226675
large,category_train.csv,Elektronik & Computer,8846,0.22115
large,category_train.csv,Kleidung & Accessoires,6881,0.172025
large,category_train.csv,Werkzeug & Baumarkt,4578,0.11445
large,category_train.csv,Sport & Freizeit,2871,0.071775
large,category_train.csv,Spielzeug & Baby,2765,0.069125
large,category_train.csv,Auto & Motorrad,2266,0.05665
large,category_train.csv,Kosmetik & Drogerie,877,0.021925
large,category_train.csv,Gesundheit & Pflege,796,0.0199
large,category_train.csv,Lebensmittel & Getränke,488,0.0122
large,category_train.csv,Bürobedarf,359,0.008975
large,category_train.csv,"Bücher, Filme & Musik",175,0.004375
large,category_train.csv,Haustier & Tierbedarf,31,0.000775
large,category_test.csv,Möbel & Wohnen,2788,0.31185682
large,category_test.csv,Kleidung & Accessoires,2599,0.29071588
large,category_test.csv,Elektronik & Computer,867,0.09697987
large,category_test.csv,Sport & Freizeit,766,0.08568233
large,category_test.csv,Werkzeug & Baumarkt,631,0.07058166
large,category_test.csv,Spielzeug & Baby,339,0.03791946
large,category_test.csv,Kosmetik & Drogerie,286,0.03199105
large,category_test.csv,Auto & Motorrad,284,0.03176734
large,category_test.csv,Gesundheit & Pflege,174,0.01946309
large,category_test.csv,Bürobedarf,104,0.01163311
large,category_test.csv,Lebensmittel & Getränke,75,0.00838926
large,category_test.csv,"Bücher, Filme & Musik",21,0.00234899
large,category_test.csv,Haustier & Tierbedarf,6,0.00067114
